Sub,Category,Dif,Time periods,Question,Answer
Details,Movies,1,2000s,What was the volleyball's name in Cast Away?,Wilson.
Games,Miscellaneous,4,"2010s, 2020s",What board game features a steampunk alternate history Eastern Europe?,Scythe.
Games,Miscellaneous,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What ancient Chinese board game features a grid and black and white stones?,Go.
Landmarks,Geography,2,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which American city is home to the Space Needle?,Seattle.
Museums,Art,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the name of the New York museum colloquially known as MoMA?,The Museum of Modern Art.
Characters,Television,1,"1980s, 1990s, 2000s, 2010s, 2020s",Which crime-fighting animal team was named after Renaissance painters?,Teenage Mutant Ninja Turtles.
Events,History,3,1900-1950,In what year did the Titanic sink?,1912
Artists,Music,3,"1990s, 2000s, 2010s",What is Jared Leto's rock band called?,30 Seconds to Mars.
Artists,Music,4,"2000s, 2010s, 2020s",What cosmic progressive rock group are Cedric Bixler-Zavala and Omar Rodriguez-Lopez known as?,The Mars Volta.
Artists,Music,4,1980s,Who played guitar on Ozzy Osbourne's Crazy Train?,Randy Rhodes.
Games,Miscellaneous,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How much money does each player start with in Monopoly?,"$1,500.00"
Government,Politics,3,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the three branches of US government?,"The legislative brand, the judicial brand, and the executive branch."
Landmarks,Geography,2,"2000s, 2010s, 2020s",What is the tallest building in New York City?,One World Trade Center.
Cities,Geography,4,"1990s, 2000s, 2010s, 2020s",Which city is known as the 'Vegas of Asia'?,Macau.
Actors,Movies,3,"1980s, 1990s",How many times did Timothy Dalton play James Bond?,Two. (In License to Kill and The Living Daylights)
Shows,Television,3,"2000s, 2010s",Which two HBO shows start with the word 'True'?,True Blood and True Detective.
Regions,Geography,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the five burrows of New York City?,"Manhattan, Brooklyn, Bronx, Queens, and Staten Island."
Characters,Television,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is Dick Grayson's alter ego in the Batman universe?,Robin.
Chemistry,Science,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many hydrogen atoms are in a molecule of benzene?,Six.
Games,Miscellaneous,2,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which board game is the 'game of global domination'?,Risk.
Films,Movies,3,1960s,What was the first James Bond movie called?,Dr. No.
Shows,Television,2,"2010s, 2020s",Which Netflix show is based on characters from Archie comics?,Riverdale.
Holy Books,Theology,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the four gospels of the Bible?,"Matthew, Mark, Luke, and John."
Details,Movies,2,2020s,"What Pixar movie was set in Toronto, Canada?",Turning Red.
Characters,Movies,3,1990s,"Sid, Rex, Bo, and Andy are minor characters in which computer animated movie?",Toy Story.
Actors,Movies,3,"1990s, 2000s","Who comes next in this series? Sean Connory, David Niven, George Lazenby, Roger Moore, Timothy Dalton...",Pierce Brosnan.
Names,Miscellaneous,4,"1980s, 1990s, 2000s, 2010s, 2020s","Copperplate Gothic, Veranda, and Calibri are all examples of what?",Fonts.
Albums,Music,2,"1990s, 2000s",Enema of the State and Take Off Your Pants and Jacket are albums by which band?,Blink-182.
Companies,Technology,2,"1990s, 2000s, 2010s, 2020s",Sergey Brin and Larry Page founded which tech giant?,Google.
Programming,Technology,4,"1990s, 2000s, 2010s, 2020s",Which color is produced by the hexademical code #ffffff?,White.
Capitals,Geography,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the capital of Australia?,Canberra.
Cities,Geography,4,"2000s, 2010s, 2020s",What is the most populated city in the world?,Tokyo.
Codes,Language,4,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What are the next three items in this series? Alpha, Bravo, Charlie, Delta...","Echo, Foxtrot, Golf."
Celebrities,Pop culture,5,1970s,"In 1979, which actress gave her best actor acceptance speech in sign language after the Academy wouldn't closed caption the ceremony?",Jane Fonda.
Geometry,Math,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the sum of all internal angles of a square in degrees?,360
Geometry,Math,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Opposite over hypoteneuse is to sine as adjacent over hypoteneuse is to what?,Cosine.
Products,Pop culture,2,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Sleeper, walk the dog, around the world, and rock the cradle are all examples of what?",Yo-yo tricks.
Landmarks,Geography,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the second tallest mountain on earth?,K2
Landmarks,Geography,1,"1980s, 1990s, 2000s, 2010s, 2020s","The Bellagio, The MGM Grand, and The Luxor are all located in which city?","Las Vegas, Nevada."
Teams,Sports,3,2010s,Which National Hockey League team made it to the Stanley Cup Finals in their first year of existence in 2018?,The Las Vegas Golden Knights.
Landmarks,Geography,1,"2000s, 2010s, 2020s",Which Toronto landmark is home to a glass floor and the Edgewalk?,The CN Tower.
Landmarks,Geography,1,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which state is Area 51 located in?,Nevada.
War,History,4,1800-1900,What was created in 1831 to allow the incorporation of foreign nationals into the French Army?,The French Foreign Legion.
Actors,Television,2,"2010s, 2020s",Who played Geralt of Rivia in the first three seasons Netflix's adaptation of The Witcher?,Henry Cavill.
Origins,Food,2,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which city was the first Starbucks in?,Seattle.
Teams,Sports,4,"2000s, 2010s, 2020s","The Los Angeles Wildcats, New York Guardians, and Dallas Renegades are teams in which sports league?",The XFL.
Transportation,Technology,2,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the railroad car with accommodations for the train crew, typically attached to the end of the train called?",The caboose.
Buildings,Miscellaneous,1,"2000s, 2010s, 2020s",What is the tallest skyscraper in the world?,The Burj Khalifa.
Games,Video games,3,2010s,Which popular 2018 video game was inspired by the party game Mafia and the science fiction horror film The Thing?,Among Us.
Space,Nature,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Andromeda, Cygnus A, and Virgo A are all examples of what?",Galaxies.
Space,Nature,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many of the solar system's gas giants have rings?,All four of them.
Foodstuffs,Food,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Almond, goat, butter, and chocolate are all types of what?",Milk.
Artists,Music,2,"1990s, 2000s, 2010s, 2020s",Which German metal band performs the song Du Hast?,Rammstein.
Olympics,Sports,2,"2010s, 2020s",Who is the most decorated Olympian of all time?,Michael Phelps.
Actors,Movies,1,"2000s, 2010s",Who played Severus Snape in the Harry Potter movie franchise?,Alan Rickman.
Actors,Television,2,1990s,Who played CJ in the television series Baywatch?,Pamela Anderson.
Linguistics,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is special about the phrase 'The quick brown fox jumps over the lazy dog.'?,It contains every letter of the alphabet.
Chemistry,Science,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which element contains every vowel including 'Y'?,Praseodymium.
Terms,Miscellaneous,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What does IQ, as in the supposed rating of smartness, stand for?",Intelligence Quotient.
Languages,Language,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which are the two official languages of China?,Mandarin and Cantonese.
Details,Television,2,"1990s, 2000s",What is the coffee shop called in the television series Friends?,Central Perk.
War,History,2,1900-1950,What day is known as D-Day?,"June 6th, 1944."
Leaders,Politics,4,2000s,"According to former president George W Bush, which three countries comprise the Axis of Evil?","Iran, Iraq, and North Korea."
Government,Politics,5,1990s,Which US politial party was founded in 1995 by Ross Perot?,The Reform Party.
Buildings,Miscellaneous,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Port Arthur, the Tower of London, The Chateau d'If, and Tuol Sleng are all examples of what type of building?",Prisons.
Programming,Technology,5,"1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In computer programming, the modulo is an arithmetic type of what?",Operator.
Schools,Philosophy,4,1990s,Which Chinese movement was founded by Li Hongzi in the early 1990s?,Falun Gong or Falun Dafa.
War,History,5,1900-1950,The Polish city of Gdansk was known as what while under German occupation?,Danzig.
Artists,Music,3,"1970s, 1980s",Who was the original singer of The Misfits?,Glenn Danzig.
Biology,Science,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the branch of science concerned with the classification and naming of organisms called?,Taxonomy.
Space,Nature,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which planet's day is longer than its year?,Venus.
Biology,Science,5,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What four terms come next in this series? Domain, kingdom, phylum, class...","Order, family, genus, species."
Biochemistry,Science,5,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the four nitrogenous bases in RNA called?,"Adenine, cytosine, uracil, and guanine."
Parts of Speech,Language,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","The words 'is', 'am', 'are', 'was', and 'were' are examples of what special type of verbs?",Helping verbs or auxilliary verbs.
Words,Language,4,1500-1800,Who coined the word 'assassin'?,William Shakespeare.
Websites,Technology,5,2000s,The phrases 'I'll find something to put here.' and 'Too close for missles; I'm switching to guns.' were present on early versions of what website?,Facebook.
Transportation,Technology,3,"2010s, 2020s",The Boeing 787 is also known as what?,The Dreamliner.
Events,History,4,2020s,"Which city's port suffered a massive, devastating ammonium nitrate explosion in 2020?","Beirut, Lebanon."
Units,Science,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",At what value do the Celsius and Fahrenheit scales represent the same temperature?,-40
Units,Science,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","To the nearest degree, at what temperature does water boil on the Kelvin scale?",373K.
Chemistry,Science,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the only two elements that are liquid at standard temperature and pressure?,Bromine and mercury.
Artists,Art,1,1800-1900,Which famous artist cut off his left ear?,Vincent van Gogh.
Artists,Music,4,"1990s, 2000s, 2010s",Led Zeppelin is to John Bonham as Tool is to whom?,Danny Carey.
Animals,Nature,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many brains does an octopus have?,Nine.
Events,History,3,1990s,In which year did the Soviet Union collpase?,1991
Actors,Movies,3,2000s,Who played King Leonidas in the movie 300?,Gerard Butler.
Characters,Television,3,2000s,Michael Scofield and Lincoln Burrows were the protagonists of which television series?,Prison Break.
Painting,Art,2,1800-1900,Who painted Starry Night?,Vincent van Gogh.
Artists,Art,4,2010s,Which artist remotely destroyed a piece of his immediately after it sold at an auction via a shredder hidden in the frame?,Banksy.
Regions,Geography,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the last US state, alphabetically?",Wyoming.
Regions,Geography,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many provinces does Canada have?,Ten. (And three territories)
Bodies of Water,Geography,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the longest river in the world?,The Nile.
Bodies of Water,Geography,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The Thames is to London as the Vistula is to which city?,Warsaw.
Geopolitics,Politics,3,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What does NATO stand for?,North Atlantic Treaty Organization.
Events,History,5,1990s,Which global airline alliance was founded in May of 1997?,Star Alliance.
Characters,Movies,4,1990s,What are the names of the three main hyenas in the 1994 Disney movie The Lion King?,"Shenzi, Banzai, and Ed."
Artists,Music,5,"1990s, 2000s","Mayhem, Gorgoroth, Behemoth, Burzum, and Bathory are all bands of what metal subgenre?",Black metal.
Authors,Literature,1,1800-1900,Who wrote the novel Frankenstein?,Mary Shelley.
Terms,Economics,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In the economics world, what does GAAP stand for?",Generally Accepted Accounting Principles.
Olympics,History,5,2020s,Who was the first openly transgender athlete to compete at the Olympic Games?,Laurel Hubbard.
Events,Sports,4,1980s,In which sport was the fantasy sports concept first introduced?,Baseball.
Events,Sports,5,2010s,Which tech magnate purchased the Los Angeles Clippers for $2 billion in 2014?,Steve Ballmer.
Films,Movies,5,1960s,In which 1961 movie does Mickey Rooney do an infamaous portrayal of Mr Yunioshi?,Breakfast at Tiffany's.
Films,Movies,4,"1970s, 1980s, 1990s, 2000s",The Dark Side of the Rainbow is a mash up of which two pieces of art?,Pink Floyd's Dark Side of the Moon and The Wizard of Oz.
Events,History,4,2000s,What caused over 1800 fatalities in the United States as well as $125 billion in damage in 2005?,Hurricane Katrina.
Unions,Politics,4,1900-1950,"Which global law enforcement agency was founded in Vienna, Austria in 1923?",Interpol.
World Religions,Theology,3,<1500,In which holy city was the Prophet Muhammad born in?,Mecca.
Philosophers,Philosophy,4,1500-1800,"Who coined the phrase 'I think, therefore I am.'",Rene Descartes.
Deaths,Pop culture,5,1980s,In which year was John Lennon killed?,1980
Deaths,Pop culture,5,1980s,Who killed John Lennon?,Mark David Chapman.
Artists,Music,2,"1990s, 2000s, 2010s, 2020s",Billy Corgan is the frontman of which long lived alternative rock band?,The Smashing Pumpkins.
Pseudoscience,Pop culture,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which zodiac sign precedes Gemini?,Taurus.
Artists,Music,4,"1980s, 1990s, 2000s, 2010s, 2020s",Who is the guitarist of the rock band Queen?,Brian May.
Regions,Geography,5,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The Golan Heights is a contested region of land between which two nations?,Israel and Syria.
Artists,Music,3,"1990s, 2000s, 2010s","Who wrote and performs the songs My Bologna, Amish Paradise, and Eat It?",Weird Al Yankovic.
Events,History,4,1980s,In which year did the Berlin Wall fall?,1989
Athletes,Sports,3,2010s,Who was alleged to have ordered balls deflated in the infamous Deflategate scandal?,Tom Brady.
Leagues,Sports,4,1970s,"In 1979, The National Hockey League merged with which other professional hockey league?",The World Hockey Association. (WHA)
Flags,Miscellaneous,4,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","From top to bottom, which colors are on the German flag?","Black, red, yellow."
